measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
314,4330.514988470,31.026959188,41.067420057
315,4344.350499616,31.096959188,41.067420057
316,4358.186010761,31.026959188,41.067420057
317,4372.021521906,31.026959188,41.007420057
318,4385.857033051,30.966959188,41.067420057
319,4399.692544197,30.906959188,40.937420057
320,4413.528055342,30.846959188,40.937420057
321,4427.363566487,30.776959188,40.877420057
322,4441.199077633,30.716959188,40.877420057
323,4455.034588778,30.776959188,40.877420057
324,4468.870099923,30.716959188,40.817420057
325,4482.705611068,30.776959188,40.817420057
326,4496.541122214,30.776959188,40.757420057
327,4510.376633359,30.776959188,40.757420057
328,4524.212144504,30.846959188,40.687420057
329,4538.047655650,30.776959188,40.687420057
330,4551.883166795,30.846959188,40.687420057
331,4565.718677940,30.846959188,40.627420057
332,4579.554189085,30.906959188,40.573890771
333,4593.389700231,30.966959188,40.573890771
334,4607.225211376,30.846959188,40.513890771
335,4621.060722521,30.846959188,40.507420057
336,4634.896233666,30.656959188,40.443890771
337,4648.731744812,30.586959188,40.443890771
338,4662.567255957,30.526959188,40.443890771
339,4676.402767102,30.526959188,40.383890771
340,4690.238278248,30.586959188,40.383890771
341,4704.073789393,30.586959188,40.383890771
342,4717.909300538,30.406959188,40.323890771
343,4731.744811683,30.216959188,40.383890771
344,4745.580322829,30.216959188,40.323890771
345,4759.415833974,30.276959188,40.323890771
346,4773.251345119,30.276959188,40.323890771
347,4787.086856264,30.406959188,40.323890771
348,4800.922367410,30.276959188,40.263890771
349,4814.757878555,30.406959188,40.263890771
350,4828.593389700,30.406959188,40.193890771
351,4842.428900846,30.406959188,40.193890771
352,4856.264411991,30.406959188,40.193890771
353,4870.099923136,30.336959188,40.193890771
354,4883.935434281,30.276959188,40.193890771
355,4897.770945427,30.276959188,40.073890771
356,4911.606456572,30.216959188,40.073890771
357,4925.441967717,30.276959188,40.073890771
358,4939.277478862,30.276959188,40.073890771
359,4953.112990008,30.156959188,40.073890771
360,4966.948501153,30.216959188,40.013890771
361,4980.784012298,30.086959188,39.943890771
362,4994.619523444,30.026959188,39.943890771
363,5008.455034589,29.966959188,39.943890771
364,5022.290545734,29.776959188,39.883890771
365,5036.126056879,29.776959188,39.883890771
366,5049.961568025,29.836959188,39.883890771
367,5063.797079170,29.966959188,39.883890771
368,5077.632590315,29.906959188,39.823890771
369,5091.468101460,29.836959188,39.763890771
370,5105.303612606,29.776959188,39.763890771
371,5119.139123751,29.776959188,39.763890771
372,5132.974634896,29.716959188,39.693890771
373,5146.810146042,29.776959188,39.693890771
374,5160.645657187,29.776959188,39.693890771
375,5174.481168332,29.836959188,39.693890771
376,5188.316679477,29.776959188,39.633890771
377,5202.152190623,29.776959188,39.573890771
378,5215.987701768,29.836959188,39.573890771
379,5229.823212913,29.716959188,39.573890771
380,5243.658724058,29.656959188,39.573890771
381,5257.494235204,29.586959188,39.513890771
382,5271.329746349,29.586959188,39.513890771
383,5285.165257494,29.656959188,39.443890771
384,5299.000768640,29.656959188,39.383890771
385,5312.836279785,29.656959188,39.383890771
386,5326.671790930,29.586959188,39.383890771
387,5340.507302075,29.656959188,39.263890771
388,5354.342813221,29.656959188,39.263890771
389,5368.178324366,29.656959188,39.263890771
390,5382.013835511,29.656959188,39.193890771
391,5395.849346656,29.716959188,39.193890771
392,5409.684857802,29.836959188,39.133890771
